Rank,cell_type,tissue,n_cells,Uber Score,Functional,Viability,Exosome,Mito Health,Rab Traffic,MDV,TNT,Adhesion,Metabolism,MV Form.,Shedding,Activation,Exosome_norm,Mito Health_norm,Rab Traffic_norm,MDV_norm,TNT_norm,Adhesion_norm,Metabolism_norm,MV Form._norm,Shedding_norm,Activation_norm,Viability
31,neutrophil,trachea,4684,0.5463038172315758,0.3838331883598063,0.7459005135215562,0.7532672882080078,0.10353260487318039,0.7199941277503967,0.10482660681009293,0.7348110675811768,0.5586440563201904,0.9461069107055664,0.617024838924408,1.1793642044067383,0.26982828974723816,0.5323092288687473,0.15275322747123898,0.5989262609757312,0.12731595113675562,0.5391366926988147,0.3392553916043983,0.6725851297069506,0.5149354761207179,0.6131839941094018,0.12764893892996318,0.7459005135215562
32,mast cell,utricle of membranous labyrinth,1,0.543641590534924,0.403037362808357,0.6539814671933263,0.7329645156860352,0.3096776604652405,0.5362144708633423,0.5753629207611084,0.6484413743019104,0.21220199763774872,0.44584426283836365,0.30061259865760803,1.289493203163147,0.0,0.5179619269823491,0.45690207611169575,0.4460493714284808,0.6988004261001162,0.4757665655486129,0.12886679987617755,0.31694961526769905,0.25087497593691815,0.670443099542989,0.0,0.6539814671933263
33,hematopoietic precursor cell,adipose tissue,1,0.5432692454668087,0.3266047617638918,0.7930118088183828,0.6137799024581909,0.16082188487052917,0.4946916997432709,0.24123282730579376,0.18092462420463562,0.5789588093757629,0.7645739316940308,0.5427738428115845,0.964931309223175,0.0,0.43373807901563044,0.23727850750082952,0.4115087035344269,0.2929865593139542,0.13274582790723588,0.3515922086263354,0.5435337710782429,0.4529696205768076,0.5016944146853405,0.0,0.7930118088183828
34,intermediate monocyte,exocrine pancreas,42,0.5427637850835643,0.4696578636531359,0.605791394266933,0.8520989418029785,0.2913854420185089,0.5930727124214172,0.23604793846607208,1.009928822517395,0.4888613820075989,0.929957389831543,0.7197753190994263,1.1177178621292114,0.22851122915744781,0.6021503093676984,0.4299135210688679,0.49334683221254755,0.28668931213353743,0.7409927656990348,0.2968775156862995,0.6611044741183979,0.6006854558505249,0.5811323596450642,0.10810288262529537,0.605791394266933
35,neutrophil,cornea,19,0.5425232786036734,0.37140442569500487,0.8000415228143094,0.5593308806419373,0.1432074010372162,0.6967772245407104,0.12185736000537872,0.6876143217086792,0.4263118505477905,1.0648260116577148,0.72398442029953,0.7457765936851501,0.3325898349285126,0.39526074531298333,0.21128989010755145,0.5796133075850426,0.1480004567943821,0.5045080669221164,0.2588922090317409,0.7569822533396757,0.6041981434990382,0.3877498305616305,0.1573398384850074,0.8000415228143094
36,microglial cell,cornea,24,0.5421003377500342,0.48403980570669425,0.7090701222157951,0.8908511996269226,0.21499213576316833,0.45086008310317993,0.5266301035881042,0.857764720916748,0.9231204986572266,1.047977328300476,0.5582904815673828,1.0142358541488647,0.8961424231529236,0.62953525598905,0.31720193516801953,0.37504742523373474,0.6396125428063753,0.629348760724387,0.5605959693420731,0.7450045648216109,0.4659189659863675,0.5273292081378762,0.42394231365715285,0.7090701222157951
37,neutrophil,prostate gland,261,0.541317361132692,0.38771559699114755,0.7680231830226423,0.616399347782135,0.11167173087596893,0.8093225359916687,0.08381868898868561,0.764731228351593,0.7319114208221436,0.9138644933700562,0.712273120880127,0.7271249890327454,0.2988169491291046,0.43558915491163763,0.16476179006119754,0.6732339913929523,0.10180102586896807,0.5610893513269416,0.4444778260532147,0.6496640726886719,0.5944245279780893,0.3780523466168263,0.14136274045375335,0.7680231830226423
38,neutrophil,inguinal lymph node,30,0.5395782433250937,0.39334289506584114,0.7814026191924041,0.5855122208595276,0.15425078570842743,0.8000661730766296,0.12251023948192596,0.8111582398414612,0.5162214040756226,0.9959807395935059,0.6822137832641602,0.7291558980941772,0.4472167193889618,0.4137622377316046,0.227583430222767,0.6655340968837283,0.14879340406286387,0.595153216898444,0.31349280926363293,0.7080403148366745,0.5693386345898531,0.3791082722802546,0.2115669181879191,0.7814026191924041
39,mononuclear phagocyte,stomach smooth muscle,2046,0.5388255769309778,0.4364589409410657,0.7306827210131287,0.7216244339942932,0.3051106333732605,0.6256777048110962,0.4606119394302368,0.7375685572624207,0.6094954609870911,0.5808784365653992,0.4358818233013153,1.0157582759857178,0.6624763607978821,0.5099482640566695,0.45016383042471564,0.520469256449683,0.559430939892447,0.5411598846899079,0.37013661733074027,0.4129450849375463,0.36376333666775934,0.5281207572616776,0.3134008098307589,0.7306827210131287
40,macrophage,sublingual gland,963,0.5370406521979358,0.4563562112931459,0.7035437158116442,0.841237485408783,0.2861926257610321,0.5972298383712769,0.4417676329612732,0.7567906975746155,0.6679567098617554,0.7118428349494934,0.4617619514465332,0.9955052137374878,0.6939848065376282,0.594474875204959,0.4222519786594372,0.4968049325019679,0.5365438039389285,0.5552633210856376,0.40563917688771306,0.5060473610941267,0.38536148842410317,0.5175906313210119,0.3283066585458011,0.7035437158116442
